order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_state
418f645ce19284efcb0faacc40f563b2,c3bd08b9de353291de99167ad7a3b7b7,delivered,04-01-2018 07:58,04-01-2018 09:03,05-01-2018 12:30,16-01-2018 17:33,02-02-2018 00:00,RJ
66b486554acb55a7b13333a6155103ac,24c42cb910c9de559ca201a43570a3f1,delivered,16-03-2018 23:31,16-03-2018 23:48,20-03-2018 19:41,29-03-2018 14:18,04-04-2018 00:00,SP
6563b375a3fad2d240225b16ee246f68,698b25aa11b2faee7c690a4b5f865730,delivered,07-08-2018 15:10,07-08-2018 15:25,08-08-2018 14:22,13-08-2018 17:26,21-09-2018 00:00,RJ
36b53be88597f8fc8af05d1a35c0dc45,ec3032c0af9490ab5427a43ac0b0c426,delivered,14-12-2017 20:07,14-12-2017 20:18,22-12-2017 23:09,09-01-2018 14:04,11-01-2018 00:00,RJ
00f2a3509bd600bd1a06a48353788d93,37dafcdee86df7843f93d4b4d5325dde,delivered,25-02-2018 12:08,25-02-2018 12:29,28-02-2018 15:34,01-03-2018 16:58,26-03-2018 00:00,SP
d696730916dce1a0a88fb9f34407ecb2,12cd97779bef91435975ccf9d4b3dea6,delivered,04-08-2017 13:30,05-08-2017 03:05,07-08-2017 18:47,14-08-2017 13:59,01-09-2017 00:00,SP
a14ae07ec866886ebfbd63a32b8f86a0,84174666481d1489fbafb3a7585aaaa5,delivered,01-03-2018 15:37,03-03-2018 02:50,06-03-2018 00:29,15-03-2018 21:56,19-03-2018 00:00,RJ
fc835bbe9e62085b1e8a5d1556bc6065,ef60347fdedc32a90d201dabe721b525,delivered,23-04-2018 16:04,24-04-2018 17:26,25-04-2018 09:38,02-05-2018 14:17,14-05-2018 00:00,MG
1be5aa7ace982878dd1d68b4ed258127,3fee04b174cda902c48f94ac50b0d0a3,delivered,01-02-2017 09:54,01-02-2017 10:01,01-02-2017 11:09,06-02-2017 15:35,02-03-2017 00:00,MG
86ddb141a4b75a77c2ed5893b02ee1f1,f2f6ed8d98af87661950716d6c148b80,delivered,22-03-2018 09:50,22-03-2018 10:09,23-03-2018 19:08,04-04-2018 10:42,10-04-2018 00:00,SP
90c1326a722fcac3511de49d6ba70b20,fe2627beb3efce8375da718334138080,delivered,18-07-2017 15:54,18-07-2017 16:10,19-07-2017 15:17,27-07-2017 17:45,17-08-2017 00:00,DF
6fe0d4afaf96ac0a6792ffa85d4b5830,ba58938b614947293a25014a8010ef59,delivered,06-01-2018 21:54,06-01-2018 22:07,11-01-2018 17:42,29-01-2018 20:57,15-02-2018 00:00,RS
